ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue
1,CAMP_012,2026-06-27,LinkedIn,55-64,16805,1201,105,187.34,65.12
2,CAMP_003,2026-06-19,Instagram,25-34,6409,461,51,19.87,2.39
3,CAMP_002,2026-06-24,Programmatic,55-64,36468,2178,374,374.81,118.82
4,CAMP_005,2026-06-15,Google Ads,25-34,7534,501,57,24.6,11.88
5,CAMP_006,2026-06-05,TikTok,25-34,35577,1346,219,324.52,132.92
6,CAMP_006,2026-06-03,LinkedIn,25-34,12710,753,132,96.18,13.25
7,CAMP_006,2026-06-19,Instagram,55-64,742,37,2,5.96,4.84
8,CAMP_007,2026-06-14,TikTok,65+,4312,144,7,17.32,8.3
9,CAMP_011,2026-06-07,Instagram,25-34,3400,97,5,13.92,11.24
10,CAMP_009,2026-06-12,Instagram,13-17,28823,1046,56,44.72,24.6
11,CAMP_003,2026-06-02,Facebook,25-34,15425,1190,192,139.1,73.18
12,CAMP_012,2026-06-25,Facebook,18-24,12503,1021,146,63.49,41.5
13,CAMP_002,2026-06-21,LinkedIn,55-64,3688,298,23,29.32,8.7
14,CAMP_005,2026-06-21,TikTok,13-17,14794,613,56,150.63,71.73
15,CAMP_011,2026-06-22,TikTok,18-24,4605,313,44,26.33,1.31
16,CAMP_002,2026-06-20,Programmatic,35-44,27846,1192,117,66.38,37.24
17,CAMP_005,2026-06-09,TikTok,13-17,5948,428,38,7.21,4.62
18,CAMP_007,2026-06-05,TikTok,45-54,15570,628,88,26.38,2.81
19,CAMP_007,2026-06-23,Google Ads,45-54,1764,129,4,13.01,4.86
20,CAMP_005,2026-06-26,Facebook,65+,13165,1087,120,108.77,24.6
21,CAMP_002,2026-06-25,Programmatic,25-34,10728,436,52,22.84,8.86
22,CAMP_003,2026-06-15,LinkedIn,45-54,4809,279,49,51.42,48.86
23,CAMP_005,2026-06-01,Instagram,45-54,5690,240,21,61.88,36.81
24,CAMP_004,2026-06-15,Instagram,35-44,5474,201,8,6.92,2.47
25,CAMP_010,2026-06-29,Programmatic,35-44,21681,923,100,182.69,119.1
