ad_id,campaign_id,date,platform,age_group,impressions,clicks,conversions,spend,revenue
1,CAMP_008,2026-07-15,Google Ads,65+,1706,51,2,3.03,0.18
2,CAMP_011,2026-07-03,Google Ads,35-44,5432,307,22,24.44,5.44
3,CAMP_007,2026-07-05,Facebook,45-54,41225,1869,122,261.56,195.08
4,CAMP_005,2026-07-09,Instagram,25-34,14555,822,101,174.26,154.69
5,CAMP_002,2026-07-03,Google Ads,13-17,8328,305,10,42.65,3.64
6,CAMP_002,2026-07-25,LinkedIn,18-24,56736,1685,72,150.42,17.4
7,CAMP_008,2026-07-21,Facebook,35-44,6126,153,15,21.15,1.58
8,CAMP_012,2026-07-08,Instagram,55-64,17812,774,133,117.93,111.46
9,CAMP_003,2026-07-18,TikTok,18-24,57446,3380,421,368.99,1.67
10,CAMP_005,2026-07-16,Programmatic,35-44,9765,333,24,27.99,11.62
11,CAMP_008,2026-07-23,LinkedIn,18-24,13373,408,66,97.83,80.45
12,CAMP_012,2026-07-07,Instagram,55-64,45733,2177,191,69.36,4.02
13,CAMP_010,2026-07-29,Programmatic,25-34,9227,694,86,74.99,38.64
14,CAMP_006,2026-07-25,Programmatic,18-24,8736,331,10,59.47,32.29
15,CAMP_009,2026-07-29,Programmatic,45-54,54505,2305,216,311.65,192.99
16,CAMP_008,2026-07-11,TikTok,35-44,8297,609,75,29.61,11.25
17,CAMP_008,2026-07-07,TikTok,13-17,2917,93,6,13.5,7.72
18,CAMP_012,2026-07-27,Instagram,45-54,6723,404,65,17.17,12.38
19,CAMP_012,2026-07-16,Programmatic,65+,9458,504,80,58.17,1.5
20,CAMP_012,2026-07-06,Google Ads,55-64,54758,3543,386,232.17,172.37
21,CAMP_004,2026-07-16,Programmatic,45-54,5202,237,41,5.11,1.89
22,CAMP_006,2026-07-08,Google Ads,65+,33086,1047,117,118.88,2.61
23,CAMP_003,2026-07-18,Instagram,13-17,16388,644,106,87.09,62.0
24,CAMP_004,2026-07-14,TikTok,18-24,11319,918,47,107.99,54.75
25,CAMP_007,2026-07-07,Instagram,65+,7305,411,24,17.95,1.62
26,CAMP_011,2026-07-11,Instagram,55-64,17396,1449,83,152.82,18.07
27,CAMP_003,2026-07-15,Programmatic,25-34,11706,654,106,135.74,32.66
28,CAMP_003,2026-07-02,Programmatic,18-24,9138,419,44,20.01,10.89
29,CAMP_007,2026-07-15,LinkedIn,55-64,17892,846,45,86.04,32.75
30,CAMP_002,2026-07-05,Facebook,18-24,1790,112,8,11.96,10.84
31,CAMP_011,2026-07-01,Google Ads,65+,5584,382,22,42.4,22.14
32,CAMP_003,2026-07-11,Programmatic,65+,4098,254,23,23.16,20.25
33,CAMP_005,2026-07-16,Facebook,55-64,1750,82,8,2.57,1.08
34,CAMP_004,2026-07-14,LinkedIn,45-54,5976,225,12,39.55,10.4
35,CAMP_001,2026-07-10,Instagram,25-34,29176,1090,136,92.45,63.9
36,CAMP_003,2026-07-17,Instagram,45-54,22679,1014,95,114.35,105.36
37,CAMP_008,2026-07-13,Facebook,35-44,3943,310,55,42.26,3.16
38,CAMP_003,2026-07-20,Instagram,18-24,14160,936,143,97.44,55.41
39,CAMP_006,2026-07-02,Google Ads,45-54,16187,1220,208,61.7,2.73
40,CAMP_012,2026-07-26,Instagram,35-44,787,41,7,2.83,0.14
41,CAMP_008,2026-07-22,Programmatic,55-64,68026,3053,539,506.76,137.51
42,CAMP_010,2026-07-24,Programmatic,25-34,13342,717,38,81.48,64.79
43,CAMP_012,2026-07-19,LinkedIn,65+,36113,2559,431,233.67,74.33
44,CAMP_011,2026-07-16,LinkedIn,18-24,36520,1665,102,436.41,340.86
45,CAMP_003,2026-07-15,Programmatic,35-44,16652,574,48,69.08,33.94
46,CAMP_010,2026-07-18,Instagram,25-34,32095,833,100,344.28,196.09
47,CAMP_007,2026-07-06,Instagram,13-17,16222,583,88,30.45,8.6
48,CAMP_002,2026-07-11,TikTok,35-44,15321,1005,180,100.38,80.1
49,CAMP_003,2026-07-25,Google Ads,55-64,1991,117,12,2.96,1.04
50,CAMP_006,2026-07-25,LinkedIn,45-54,2305,163,26,19.66,0.98
51,CAMP_001,2026-07-25,Facebook,35-44,6102,286,14,31.86,24.78
52,CAMP_005,2026-07-10,Programmatic,45-54,45077,2374,121,248.52,13.41
53,CAMP_008,2026-07-22,TikTok,35-44,2363,81,6,24.92,7.46
54,CAMP_006,2026-07-28,TikTok,13-17,10058,377,39,69.43,19.87
55,CAMP_012,2026-07-06,Programmatic,35-44,19691,1607,131,115.69,25.68
56,CAMP_004,2026-07-13,Instagram,25-34,2074,161,9,6.69,3.66
57,CAMP_003,2026-07-07,Facebook,45-54,7850,590,81,27.67,15.15
58,CAMP_001,2026-07-06,Google Ads,18-24,4420,340,24,11.56,7.51
59,CAMP_003,2026-07-03,Facebook,55-64,5757,219,31,60.09,5.7
60,CAMP_009,2026-07-20,Google Ads,18-24,41854,3442,188,255.93,98.83
61,CAMP_011,2026-07-22,Instagram,65+,24404,1266,141,65.09,54.57
